review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000039,ORD-20260204-343446,CUST-10408,REST-AUH-002,Perfect in every way! Aloo Tikki Chaat and Tandoori Roti were all excellent. Aloo Tikki Chaat stood out with its rich  authentic taste.,5,2026-02-08T19:11:21.031590
REV-000040,ORD-20260205-105455,CUST-10347,REST-DXB-001,Great food overall. Lamb Rogan Josh were tasty  especially the Lamb Rogan Josh. Would order again!,4,2026-02-12T11:35:00.031590
REV-000041,ORD-20260210-284624,CUST-10007,REST-SHJ-001,Really good Aloo Tikki Chaat! The Aloo Tikki Chaat was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-12T21:43:24.031590
REV-000042,ORD-20260214-449889,CUST-10097,REST-DXB-001,Really good Gulab Jamun (2 pcs)  Masala Chai  and Butter Chicken! The Gulab Jamun (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-20T15:27:47.031590
REV-000044,ORD-20260219-675023,CUST-10138,REST-DXB-001,Best Indian food in UAE! Gulab Jamun (2 pcs)  Chicken Seekh Kebab  and Lamb Rogan Josh were incredible. Chicken Seekh Kebab had the perfect balance of spices. Five stars!,5,2026-02-21T11:57:57.031590
REV-000043,ORD-20260215-447399,CUST-10304,REST-DXB-002,Mixed feelings. Gajar Halwa  Fresh Lime Soda  Paneer Tikka  Butter Naan  and Palak Paneer were acceptable. Palak Paneer was decent but portion was small for the price.,3,2026-02-21T12:15:11.031590
REV-000046,ORD-20260222-993774,CUST-10297,REST-DXB-002,Incredible meal! Chicken Biryani arrived hot and fresh. The Chicken Biryani was absolutely divine. Highly satisfied!,5,2026-02-23T21:30:29.031590
REV-000047,ORD-20260223-858508,CUST-10122,REST-SHJ-001,Good quality food. Gulab Jamun (2 pcs)  Butter Naan  Butter Chicken  Aloo Tikki Chaat  and Chicken 65 were nicely done. Aloo Tikki Chaat could have been slightly spicier but still good!,4,2026-02-24T19:40:46.031590
REV-000045,ORD-20260221-561807,CUST-10372,REST-SHJ-001,Average experience. Palak Paneer  Butter Chicken  and Vegetable Biryani were fine but Palak Paneer was a bit bland. Room for improvement.,3,2026-02-26T19:56:29.031590
REV-000048,ORD-20260224-560628,CUST-10305,REST-DXB-002,Exceptional quality! Ordered Vegetable Biryani  Palak Paneer  and Chicken 65 and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2026-02-27T15:04:54.031590
REV-000049,ORD-20260228-873189,CUST-10265,REST-DXB-001,Great food overall. Gajar Halwa were tasty  especially the Gajar Halwa. Would order again!,4,2026-03-06T14:36:25.031590
REV-000050,ORD-20260302-885410,CUST-10474,REST-DXB-001,Solid experience. Naan  Paneer Tikka  Aloo Tikki Chaat  Gajar Halwa  and Butter Chicken were well-prepared. Paneer Tikka had great flavor. Minor issues with packaging.,4,2026-03-08T20:51:02.031590
REV-000052,ORD-20260306-218535,CUST-10421,REST-DXB-001,Solid experience. Jeera Rice  Garlic Naan  Gulab Jamun (2 pcs)  and Naan were well-prepared. Naan had great flavor. Minor issues with packaging.,4,2026-03-09T11:15:09.031590
REV-000056,ORD-20260310-110348,CUST-10191,REST-SHJ-001,Really good Paneer Butter Masala  Naan  and Mango Lassi! The Mango Lassi was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-11T10:08:33.031590
REV-000051,ORD-20260304-750900,CUST-10188,REST-AUH-002,Outstanding experience! The Garlic Naan  Mango Lassi  Kulfi  and Vegetable Biryani exceeded all expectations. Garlic Naan was the star of the meal. Will definitely order again!,5,2026-03-11T18:54:51.031590
REV-000053,ORD-20260306-457391,CUST-10169,REST-AUH-001,Best Indian food in UAE! Fish Curry  Gulab Jamun (2 pcs)  Butter Chicken  Naan  and Paneer Tikka were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2026-03-12T12:57:50.031590
REV-000054,ORD-20260306-582619,CUST-10244,REST-DXB-002,Absolutely amazing Naan and Tandoori Roti! The Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-12T16:22:43.031590
REV-000055,ORD-20260309-726266,CUST-10016,REST-DXB-002,Best Indian food in UAE! Chicken 65  Fish Curry  Jeera Rice  and Chicken Seekh Kebab were incredible. Chicken Seekh Kebab had the perfect balance of spices. Five stars!,5,2026-03-15T12:12:11.031590
REV-000058,ORD-20260314-308479,CUST-10210,REST-AUH-002,Good quality food. Aloo Tikki Chaat  Butter Naan  Chicken Biryani  and Tandoori Roti were nicely done. Chicken Biryani could have been slightly spicier but still good!,4,2026-03-17T12:30:26.031590
REV-000057,ORD-20260311-977264,CUST-10252,REST-DXB-001,Really good Dal Makhani and Tandoori Roti! The Dal Makhani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-17T19:23:22.031590
REV-000061,ORD-20260316-196940,CUST-10276,REST-DXB-001,Absolutely amazing Rasmalai (2 pcs)! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-18T15:01:20.031590
REV-000059,ORD-20260314-839509,CUST-10021,REST-SHJ-001,Wow! Just wow! Aloo Tikki Chaat  Paneer Butter Masala  Tandoori Roti  Garlic Naan  and Chicken Biryani were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2026-03-19T15:35:38.031590
REV-000060,ORD-20260314-144138,CUST-10474,REST-DXB-001,Perfect in every way! Paneer Butter Masala  Palak Paneer  Gajar Halwa  and Dal Makhani were all excellent. Palak Paneer stood out with its rich  authentic taste.,5,2026-03-19T20:35:51.031590
REV-000062,ORD-20260321-768002,CUST-10001,REST-DXB-002,Absolutely amazing Gajar Halwa  Chole Bhature  and Jeera Rice! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-25T21:49:35.031590
REV-000063,ORD-20260323-142217,CUST-10254,REST-AUH-001,Wow! Just wow! Palak Paneer were all fantastic. Palak Paneer was particularly memorable. Can't wait to order again!,5,2026-03-29T19:45:57.031590
REV-000066,ORD-20260404-948597,CUST-10325,REST-AUH-001,Hands down the best Mango Lassi I've ever had! Mango Lassi  Naan  and Sweet Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-04-05T19:47:31.031590
REV-000067,ORD-20260405-889895,CUST-10436,REST-SHJ-001,Perfect in every way! Lamb Rogan Josh were all excellent. Lamb Rogan Josh stood out with its rich  authentic taste.,5,2026-04-09T17:04:29.031590
REV-000065,ORD-20260404-434114,CUST-10041,REST-AUH-002,Very satisfied! Fish Curry were fresh and flavorful. Fish Curry was the standout dish.,4,2026-04-09T17:55:58.031590
REV-000064,ORD-20260403-683773,CUST-10302,REST-SHJ-001,Incredible meal! Gajar Halwa  Gulab Jamun (2 pcs)  and Chicken Tikka Masala arrived hot and fresh. The Gulab Jamun (2 pcs) was absolutely divine. Highly satisfied!,5,2026-04-10T12:05:08.031590
REV-000068,ORD-20260410-580160,CUST-10316,REST-DXB-001,Exceptional quality! Ordered Naan and everything was delicious. The Naan melted in my mouth. Perfect!,5,2026-04-13T12:53:07.031590
REV-000069,ORD-20260416-440418,CUST-10417,REST-AUH-001,Absolutely amazing Butter Chicken! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-04-21T14:32:10.031590
REV-000070,ORD-20260418-796815,CUST-10478,REST-DXB-001,Exceptional quality! Ordered Lamb Rogan Josh and everything was delicious. The Lamb Rogan Josh melted in my mouth. Perfect!,5,2026-04-24T19:46:39.031590
REV-000071,ORD-20260429-571890,CUST-10377,REST-DXB-002,Perfect in every way! Chicken Tikka Masala  Sweet Lassi  Butter Naan  and Gajar Halwa were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-05-05T10:02:36.031590
REV-000072,ORD-20260503-963980,CUST-10292,REST-AUH-001,Terrible experience! Butter Naan  Kulfi  and Vegetable Biryani were all inedible. Butter Naan was completely burnt. Waste of money!,1,2026-05-07T16:53:22.031590
REV-000074,ORD-20260506-269880,CUST-10428,REST-AUH-001,Incredible meal! Masala Chai  Jeera Rice  Palak Paneer  Samosa (2 pcs)  and Fresh Lime Soda arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2026-05-08T19:49:48.031590
REV-000073,ORD-20260505-140542,CUST-10254,REST-AUH-002,Really good Butter Chicken  Malai Kofta  and Chicken Biryani! The Chicken Biryani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-05-11T15:30:09.031590
REV-000075,ORD-20260511-283236,CUST-10299,REST-AUH-001,Pleasant meal! Kulfi and Palak Paneer arrived warm. Palak Paneer was tasty though not exceptional. Would order again.,4,2026-05-16T12:45:27.031590
